﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,2week,kg/ha,TotalYield,Table1,23/08/1983,05/10/1983,1220,,28.3721,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,2week,kg/ha,TotalYield,Table1,15/03/1983,23/08/1983,1080,,6.7081,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,6week,kg/ha,TotalYield,Table2,23/08/1983,05/10/1983,1550,,36.0465,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,6week,kg/ha,TotalYield,Table2,15/03/1983,23/08/1983,1740,,10.8075,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,6weekGR,kg/ha,TotalYield,Table1,23/08/1983,05/10/1983,1234.1,,28.7,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,2_Dargaville Research Area_2,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_2- or 6-week, autumn only",Kikuyu,,,,,6weekGR,kg/ha,TotalYield,Table1,15/03/1983,23/08/1983,4008.9,,24.9,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,3week,kg/ha,TotalYield,Table1,26/04/1984,07/08/1984,1850,,17.9612,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,3week,kg/ha,TotalYield,Table1,30/08/1984,12/10/1984,1530,,35.5814,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,3weekGR,kg/ha,TotalYield,Table1,26/04/1984,07/08/1984,2152.7,,20.9,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,3weekGR,kg/ha,TotalYield,Table1,30/08/1984,12/10/1984,864.3,,20.1,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6week,kg/ha,TotalYield,Table1,26/04/1984,07/08/1984,2070,,20.0971,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6week,kg/ha,TotalYield,Table1,30/08/1984,12/10/1984,1470,,34.186,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6weekGR,kg/ha,TotalYield,Table1,26/04/1984,07/08/1984,2678,,26,0,,,,
