﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,20,57,,,2500,Grazed by ewes,Resident pasture of unknown composition,,,,,High fertility-High stocking rate,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,10285,,28.1781,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,20,57,,,2500,Grazed by ewes,Resident pasture of unknown composition,,,,,HIgh fertility-High stocking rate & High Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,5578,,15.2822,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,20,57,,,2500,Grazed by ewes,Resident pasture of unknown composition,,,,,HIgh fertility-High stocking rate & Low Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,17226,,47.1945,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,20,57,,,2500,Grazed by ewes,Resident pasture of unknown composition,,,,,HIgh fertility-High stocking rate & Medium Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,11324,,31.0247,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,High Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,4003,,10.9671,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,11,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,Low fertility-Low stocking rate,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,4280,,11.726,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,11,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,Low fertility-Low stocking rate & High Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,2872,,7.8685,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,11,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,Low fertility-Low stocking rate & Low Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,9170,,25.1233,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,11,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,Low fertility-Low stocking rate & Medium Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,2976,,8.1534,,Y,Y,Y,
Published,The influence of topography and pasture management on soil characteristics and herbage accumulation in hill pasture in the North Island of New Zealand,"López, I.F., Lambert, M.G., Mackay, A.D. & Valentine, I",,2003,Vol. 255,421-434,https://doi.org/10.1023/A:1026062502566,doi.org/10.1023/A:1026062502566,"The purpose of this study was to investigate the long-term effects of soil physical and chemical properties, herbage buildup, and livestock management on a hill site in the southern North Island of New Zealand. https://doi.org/10.1023/A:1026062502566",Whanganui-Manawatu,Location - Whanganui-Manawatu,Ballantrae Research Station,-40.3166667,175.8333333,,,Pasture,Resident,,Not specified,,,,,,,Grazed by ewes,Resident pasture of unknown composition,,,,,Low Slope,kg/ha,TotalYield,Table6. Effect of treatments and slope on DM,01/07/1997,01/07/1998,12568,,34.4329,,Y,Y,Y,
