# pasture_growth_curve.csv — REBUILT 2026-07-17 after removing a
# fabricated DairyNZ Ruakura/Hawera WTARS citation. See CHANGELOG.md
# and DATA_SOURCES.md (Pasture Growth section) for full provenance.
# Generated by build_pasture_growth_curve.py — do not hand-edit values;
# edit REGION_SOURCES in that script and re-run instead.

region_id,month,growth_rate_kgdm_ha_day,annual_magnitude_kgdm_ha_yr,magnitude_source,shape_confidence,cross_check_source
waikato,1,22.54,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,2,10.33,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,3,6.62,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,4,17.53,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,5,6.44,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,6,4.47,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,7,7.56,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,8,25.85,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,9,37.66,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,10,37.57,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,11,54.3,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
waikato,12,47.77,8493,"Cichota et al. (2014), Table 2, LUC Class 6 (steep hill), Waikato. Verified against source PDF 2026-07-17.","REAL shape, rescaled — ⚠ single season (2002-2003), 2 paddocks. An upgrade from the prior flat placeholder, not a multi-year-verified curve. Shape source's own implied annual total before rescaling: ~11868 kg DM/ha/yr.","Reardon (1978), Te Kuiti/Whatawhata beef data — real but sparse (n=4, 1971/1974), consistent order of magnitude, not used to override Cichota."
taranaki,1,43.1,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,2,42.2,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,3,44.5,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,4,30.4,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,5,16.8,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,6,12.6,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
