"# Source: Hicks, D. & Curran-Cournane, F. (2017). Auckland Council Technical"
"# Report TR2017/020, Appendix 2: Pasture yields and stocking rates for Auckland"
"# farm-scale land use capability (checked version, Feb 2017)."
"# Transcribed via layout-aware text parsing from the source PDF, 2026-07-17,"
# spot-checked against the two rows already used in pasture_growth_curve.csv.
"# Yields in tonnes DM/ha/yr at 1500mm mean annual rainfall (model output, for"
# cross-LUC comparison — not a site-specific rainfall figure).
"# The West_Auckland row in pasture_growth_curve.csv (6900 kg DM/ha/yr, 9.0 SU/ha)"
# is the average of the 'regolithic footslopes' semi-improved rows for
"# 'banded or massive sandstone' (6.3 t, 8 SU/ha) and 'claystone, mudstone, shale'"
"# (7.5 t, 10 SU/ha) below."

section,geology,nzsc_soil_group,landform_characteristics,farm_luc_class,subclass,yield_suffix,pasture_growth_unimproved_tdm_ha_yr,pasture_growth_semiimproved_tdm_ha_yr,pasture_growth_improved_tdm_ha_yr,stocking_rate_unimproved_su_ha,stocking_rate_semiimproved_su_ha,stocking_rate_improved_su_ha
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,occasionally flooded,5,a,~,3.5,5.6,7.0,4,7,13
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,regularly flooded,6,a,~,2.6,4.2,5.3,3,6,10
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,frequently flooded,7,a,~,1.7,2.7,3.4,2,4,6
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sandy raw,sandy or shelly,6,a+r,~,no data,no data,no data,no data,no data,no data
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,occasionally flooded,5,f,@,3.2,5.0,6.3,3,7,11
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,regularly flooded,6,f,@,2.3,3.7,4.6,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,frequently flooded,7,f,@,1.5,2.4,3.0,2,3,5
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,semi-drained swamp,5,o,(,2.3,3.7,4.6,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,seasonal swamp,6,o,(,1.7,2.7,3.4,2,4,6
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,permanent swamp,7,o,(,1.1,1.7,2.1,1,2,4
