time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,windspeed_10m_max
2015-01-01,18.8,14.6,1.8,5.04,26.4
2015-01-02,21.2,14.1,0.0,5.39,24.4
2015-01-03,20.5,15.4,0.0,4.52,22.8
2015-01-04,22.6,14.2,0.0,5.41,18.4
2015-01-05,22.7,16.2,0.0,4.87,18.4
2015-01-06,21.3,15.9,0.0,5.19,20.0
2015-01-07,21.7,16.5,0.0,4.4,21.9
2015-01-08,21.4,15.2,0.9,4.73,23.2
2015-01-09,21.4,16.9,0.1,4.66,21.4
2015-01-10,22.6,16.3,0.0,4.66,23.8
2015-01-11,21.3,17.3,0.0,5.04,24.4
2015-01-12,22.6,18.3,0.1,4.57,25.5
2015-01-13,22.4,17.0,0.0,5.17,22.2
2015-01-14,22.8,15.8,0.0,5.19,21.5
2015-01-15,23.9,16.1,0.0,5.44,19.9
2015-01-16,24.4,16.8,0.0,5.62,10.5
2015-01-17,23.5,18.1,1.1,3.69,20.9
2015-01-18,22.5,16.6,0.0,5.4,19.7
2015-01-19,22.7,18.7,0.0,5.03,19.4
2015-01-20,22.3,17.4,0.3,4.62,19.6
2015-01-21,21.9,17.2,0.0,5.67,26.6
2015-01-22,22.0,15.9,0.8,4.86,27.1
2015-01-23,22.7,17.3,0.0,4.91,18.8
2015-01-24,24.5,16.6,0.0,5.42,20.8
2015-01-25,23.8,17.4,0.0,5.01,19.7
2015-01-26,23.5,17.3,0.1,4.78,20.9
2015-01-27,23.5,18.4,2.7,3.96,12.6
2015-01-28,24.3,18.0,0.0,4.92,21.0
2015-01-29,24.4,18.3,0.2,5.05,29.2
2015-01-30,24.5,18.9,0.0,4.36,24.6
2015-01-31,23.5,19.1,0.8,3.18,19.6
2015-02-01,21.6,18.9,7.1,1.79,17.1
2015-02-02,23.9,18.7,0.7,4.12,20.6
2015-02-03,22.6,18.1,1.4,4.53,26.8
2015-02-04,20.7,17.1,15.1,1.79,13.4
2015-02-05,19.8,18.0,2.2,4.92,38.5
2015-02-06,18.8,16.1,0.3,4.53,46.3
2015-02-07,19.9,16.4,0.0,5.51,36.6
2015-02-08,20.7,16.1,0.0,3.63,16.3
2015-02-09,21.0,17.3,0.0,3.25,19.8
2015-02-10,21.9,17.2,1.0,4.27,23.8
2015-02-11,21.0,14.7,0.0,5.16,26.4
2015-02-12,20.9,15.0,0.2,3.88,23.9
2015-02-13,21.2,16.2,0.5,4.16,26.3
2015-02-14,22.0,15.6,0.6,4.31,14.7
2015-02-15,21.2,16.7,1.3,4.2,14.5
2015-02-16,21.3,16.4,0.6,4.12,11.4
2015-02-17,21.3,16.7,0.3,4.15,13.4
2015-02-18,22.6,16.3,0.0,4.69,20.6
2015-02-19,21.9,16.2,0.0,4.9,24.6
2015-02-20,22.7,16.2,0.4,3.92,15.2
2015-02-21,22.3,16.7,1.2,3.34,12.6
2015-02-22,21.5,17.7,5.5,3.31,9.7
2015-02-23,21.4,17.3,0.7,3.62,23.1
2015-02-24,21.9,17.0,0.0,4.09,20.6
2015-02-25,20.8,15.7,0.3,3.68,23.2
2015-02-26,22.0,16.3,0.4,3.98,16.6
2015-02-27,21.8,16.8,0.3,3.77,18.8
2015-02-28,23.3,16.3,0.0,4.42,17.7
2015-03-01,24.4,16.3,0.0,4.52,10.0
2015-03-02,23.2,17.6,0.0,4.4,21.1
2015-03-03,22.4,18.8,0.2,2.9,18.2
2015-03-04,23.2,17.6,0.1,3.06,11.0
2015-03-05,24.0,17.2,0.0,4.12,19.9
2015-03-06,23.1,17.6,3.3,2.4,35.0
2015-03-07,22.5,17.3,1.0,3.47,45.6
2015-03-08,20.5,17.3,0.8,4.27,43.7
2015-03-09,20.3,16.5,0.0,3.36,18.5
2015-03-10,22.4,16.3,0.0,4.07,25.3
2015-03-11,22.5,16.1,0.0,3.68,17.3
