time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,windspeed_10m_max
2015-01-01,17.7,12.2,0.7,4.18,19.2
2015-01-02,19.9,11.3,0.0,4.39,20.7
2015-01-03,20.5,11.1,0.0,4.38,16.3
2015-01-04,21.5,11.3,0.2,4.31,16.3
2015-01-05,21.8,11.6,0.0,5.09,18.5
2015-01-06,21.6,12.8,0.0,4.4,22.5
2015-01-07,20.6,14.9,0.0,4.9,16.7
2015-01-08,21.1,12.0,0.0,5.31,20.3
2015-01-09,22.0,9.3,0.0,4.78,12.8
2015-01-10,22.1,12.7,0.0,5.15,15.6
2015-01-11,21.0,11.3,0.0,4.73,22.5
2015-01-12,21.7,14.4,0.7,3.17,23.8
2015-01-13,23.0,10.9,0.0,5.04,16.2
2015-01-14,23.1,12.7,0.0,5.11,15.3
2015-01-15,23.4,13.2,0.1,4.8,14.5
2015-01-16,21.8,14.6,0.3,3.63,19.9
2015-01-17,21.8,14.5,3.8,3.28,28.8
2015-01-18,23.5,12.9,0.1,5.3,23.1
2015-01-19,21.4,14.4,1.1,3.98,22.7
2015-01-20,19.0,13.0,0.3,3.1,16.9
2015-01-21,19.0,11.2,0.0,4.48,17.9
2015-01-22,20.3,11.1,0.0,5.22,23.2
2015-01-23,22.6,9.2,0.0,5.64,11.5
2015-01-24,23.3,10.6,0.0,5.5,13.0
2015-01-25,25.8,10.9,0.0,5.93,15.9
2015-01-26,23.0,14.8,0.0,4.47,17.5
2015-01-27,24.9,14.9,0.0,4.98,16.7
2015-01-28,25.1,13.8,0.7,4.58,10.9
2015-01-29,24.7,13.4,0.0,5.15,17.2
2015-01-30,23.9,15.2,0.3,4.22,17.2
2015-01-31,23.4,16.9,7.8,2.55,15.6
2015-02-01,19.9,16.9,12.2,1.32,18.7
2015-02-02,19.9,16.5,25.7,1.29,24.6
2015-02-03,19.5,13.9,1.0,3.33,29.9
2015-02-04,18.3,13.4,0.6,2.72,29.1
2015-02-05,15.9,12.3,3.7,3.14,34.7
2015-02-06,14.2,8.8,4.3,2.82,40.2
2015-02-07,18.0,7.4,0.0,4.21,13.0
2015-02-08,20.6,10.6,0.0,3.63,17.6
2015-02-09,19.8,14.2,1.7,3.05,27.4
2015-02-10,18.3,11.3,4.5,4.44,27.4
2015-02-11,21.5,8.5,0.0,4.57,18.6
2015-02-12,20.0,8.0,0.0,3.97,14.0
2015-02-13,20.7,11.8,0.0,3.8,18.6
2015-02-14,17.3,10.9,0.1,3.26,22.4
2015-02-15,17.5,9.8,0.0,3.93,20.3
2015-02-16,18.9,8.3,0.0,4.07,17.7
2015-02-17,20.6,8.2,0.0,4.48,11.8
2015-02-18,22.2,7.5,0.0,4.76,13.9
2015-02-19,21.4,10.8,0.0,3.58,23.0
2015-02-20,23.5,12.3,0.0,4.48,12.6
2015-02-21,21.5,13.9,0.6,3.3,22.0
2015-02-22,21.5,12.7,0.0,3.69,14.8
2015-02-23,21.5,11.7,9.0,3.11,14.6
2015-02-24,20.3,14.3,0.3,2.63,10.3
2015-02-25,20.1,11.6,0.8,3.34,18.4
2015-02-26,19.9,12.3,0.0,3.57,18.6
2015-02-27,19.9,10.2,0.2,3.07,16.6
2015-02-28,21.8,8.7,0.0,3.78,17.8
2015-03-01,22.6,10.8,0.0,3.8,14.8
2015-03-02,23.4,12.9,0.0,4.13,13.8
2015-03-03,22.9,13.8,0.1,3.27,12.4
2015-03-04,22.5,13.9,1.1,2.82,11.2
2015-03-05,23.1,13.0,0.3,3.64,10.5
2015-03-06,21.1,14.6,10.0,2.54,41.1
2015-03-07,20.0,12.7,13.6,2.81,40.5
2015-03-08,18.0,12.8,2.5,2.95,34.1
2015-03-09,17.8,12.5,0.7,2.1,17.2
2015-03-10,20.4,10.6,0.0,2.96,13.8
2015-03-11,20.3,10.6,0.1,2.66,16.7
2015-03-12,19.7,13.8,11.3,2.03,7.1
2015-03-13,20.2,12.4,2.6,2.8,10.0
2015-03-14,20.4,12.8,0.6,2.77,12.9
2015-03-15,22.3,10.9,0.0,3.31,14.0
2015-03-16,18.4,13.5,7.9,1.89,24.9
2015-03-17,13.2,10.9,2.6,1.23,23.0
2015-03-18,12.7,9.9,0.0,1.64,12.6
2015-03-19,14.0,7.7,0.0,2.63,17.2
2015-03-20,15.1,3.8,0.0,3.02,15.0
2015-03-21,18.5,5.8,0.0,2.62,16.9
2015-03-22,16.9,12.6,0.4,1.31,14.8
2015-03-23,18.6,10.8,1.0,2.49,8.2
2015-03-24,18.8,11.8,0.2,2.39,16.3
2015-03-25,19.7,12.2,0.0,2.44,16.1
2015-03-26,18.4,13.8,3.5,1.76,19.8
2015-03-27,20.7,13.5,0.0,2.55,11.7
2015-03-28,19.1,14.1,0.3,1.77,23.5
2015-03-29,18.7,12.9,4.7,2.23,25.0
2015-03-30,17.2,11.8,3.7,2.14,26.4
2015-03-31,17.7,9.5,0.1,2.45,16.7
2015-04-01,19.8,6.0,0.0,2.72,8.7
2015-04-02,18.4,9.8,0.0,2.34,22.6
2015-04-03,17.7,10.7,0.0,2.01,14.1
2015-04-04,19.7,9.9,0.0,2.69,27.2
2015-04-05,19.3,10.7,0.0,2.24,15.0
2015-04-06,19.9,9.5,0.3,2.41,22.3
2015-04-07,20.4,14.5,2.6,2.2,31.5
2015-04-08,17.7,15.2,33.7,0.61,26.4
2015-04-09,19.2,16.1,72.0,0.97,18.6
2015-04-10,18.1,13.5,25.9,0.92,22.7
2015-04-11,15.8,9.8,1.5,2.04,15.9
2015-04-12,15.2,10.4,0.0,1.85,28.8
2015-04-13,12.9,5.7,28.0,0.98,32.3
2015-04-14,9.2,3.6,4.3,1.32,17.7
2015-04-15,13.1,3.1,0.0,1.84,16.2
2015-04-16,12.8,4.8,0.0,1.95,14.7
2015-04-17,13.5,4.9,0.9,1.51,21.4
2015-04-18,15.0,9.1,13.5,1.17,18.3
2015-04-19,17.6,4.4,0.0,1.99,12.2
2015-04-20,17.7,10.2,0.3,1.63,17.8
2015-04-21,18.0,8.8,0.4,1.75,13.0
2015-04-22,16.8,12.1,5.3,1.16,12.8
2015-04-23,17.5,9.0,0.0,1.93,13.7
2015-04-24,17.9,7.0,0.0,2.08,8.9
2015-04-25,16.2,8.2,0.0,2.11,19.2
2015-04-26,16.3,10.7,0.7,2.26,31.0
2015-04-27,16.2,13.8,11.7,1.24,36.0
2015-04-28,14.3,8.9,10.9,1.34,34.3
2015-04-29,12.8,8.0,7.4,1.14,33.4
2015-04-30,11.7,4.2,0.9,1.84,33.2
2015-05-01,14.7,2.7,0.0,1.59,20.2
2015-05-02,14.3,8.8,0.0,1.42,19.0
2015-05-03,14.3,6.1,0.0,1.36,14.2
2015-05-04,13.8,2.8,0.0,1.27,11.1
2015-05-05,16.4,8.9,0.0,1.43,17.6
2015-05-06,16.6,11.8,0.0,1.94,31.4
2015-05-07,15.6,14.4,37.2,0.55,32.7
2015-05-08,15.8,11.2,5.1,0.88,19.3
2015-05-09,13.4,10.4,0.2,1.51,26.3
2015-05-10,15.7,9.0,0.2,1.36,19.6
2015-05-11,15.3,10.4,0.1,1.09,27.6
2015-05-12,13.0,9.6,9.4,0.88,33.3
2015-05-13,15.5,9.3,0.0,1.92,27.3
2015-05-14,13.1,12.0,29.8,0.66,27.5
2015-05-15,13.0,8.5,20.4,0.63,22.1
2015-05-16,12.1,7.2,2.1,1.31,22.6
2015-05-17,11.7,4.2,0.0,0.81,11.5
2015-05-18,13.1,3.7,0.0,1.27,31.0
2015-05-19,12.1,5.2,0.0,0.98,17.6
2015-05-20,12.4,1.6,0.1,1.0,16.1
2015-05-21,13.3,8.1,4.6,0.72,30.1
2015-05-22,11.7,3.6,1.0,1.33,26.1
2015-05-23,10.3,3.6,3.3,0.55,16.2
2015-05-24,10.8,7.4,0.7,1.27,32.7
2015-05-25,8.9,3.7,1.8,1.82,33.9
2015-05-26,9.5,5.0,0.8,1.12,23.6
2015-05-27,9.1,1.2,0.2,0.95,19.7
2015-05-28,10.8,0.8,0.0,1.11,10.2
2015-05-29,10.7,-0.4,0.0,1.14,11.2
2015-05-30,12.0,2.9,0.0,1.16,21.0
2015-05-31,13.8,6.3,0.0,1.4,19.1
2015-06-01,13.6,6.7,2.9,0.89,20.6
2015-06-02,14.9,10.4,7.8,0.92,25.7
2015-06-03,12.2,9.2,0.4,0.85,35.7
2015-06-04,10.9,4.8,14.5,0.32,24.0
2015-06-05,11.0,1.5,0.0,0.83,13.3
2015-06-06,10.7,3.7,0.3,0.73,18.3
2015-06-07,11.6,4.4,0.0,0.9,23.4
2015-06-08,12.6,2.8,0.0,0.7,19.2
2015-06-09,13.2,8.7,0.4,0.8,24.8
2015-06-10,14.2,10.4,8.7,1.05,33.1
2015-06-11,10.1,5.7,8.5,0.69,27.1
2015-06-12,10.7,6.3,6.9,1.07,42.1
2015-06-13,10.5,7.5,0.1,1.39,36.7
2015-06-14,11.2,8.9,0.4,1.06,37.2
2015-06-15,9.5,4.3,5.4,0.76,25.7
2015-06-16,9.3,0.4,0.0,1.03,13.0
2015-06-17,9.7,-1.7,0.0,0.94,14.0
2015-06-18,11.9,6.6,0.0,1.03,28.2
2015-06-19,13.7,10.7,12.7,0.52,35.3
2015-06-20,13.8,9.4,78.8,0.23,35.2
2015-06-21,9.8,7.6,1.9,1.09,28.6
2015-06-22,7.0,3.2,2.3,1.08,26.1
2015-06-23,6.4,2.2,0.0,0.92,20.8
2015-06-24,7.0,2.7,0.0,0.67,14.9
2015-06-25,7.3,-0.4,0.0,0.68,12.6
2015-06-26,11.1,-0.9,2.3,0.59,32.1
2015-06-27,9.3,4.6,1.9,1.09,29.9
2015-06-28,11.9,6.7,0.0,1.09,23.3
2015-06-29,10.4,7.4,0.3,1.01,33.0
2015-06-30,11.3,8.4,0.0,0.88,27.9
2015-07-01,11.2,7.8,0.3,0.93,25.0
2015-07-02,11.2,7.1,0.1,0.78,18.1
2015-07-03,11.7,7.4,2.7,0.97,38.7
2015-07-04,12.4,7.0,0.0,0.68,13.0
2015-07-05,11.4,6.2,0.0,0.88,29.2
2015-07-06,10.8,7.6,9.3,0.64,24.7
2015-07-07,9.2,4.8,8.4,0.29,14.5
2015-07-08,5.4,2.5,2.0,0.89,21.4
2015-07-09,4.4,1.2,2.8,0.65,21.9
2015-07-10,6.3,0.5,1.1,0.7,19.5
2015-07-11,7.2,0.2,0.0,0.82,11.5
2015-07-12,8.3,-0.8,0.0,0.93,11.9
2015-07-13,9.5,-3.1,0.0,1.05,9.0
2015-07-14,10.4,-0.9,0.0,1.21,22.5
2015-07-15,12.0,7.7,13.0,1.08,33.2
2015-07-16,11.9,7.4,4.7,0.92,21.2
2015-07-17,11.2,6.9,1.1,0.9,21.0
2015-07-18,10.7,6.8,23.6,0.6,27.6
2015-07-19,6.7,2.3,5.4,1.23,33.7
2015-07-20,9.4,-1.2,6.3,0.93,31.9
2015-07-21,9.8,1.8,0.0,1.37,18.4
2015-07-22,9.9,2.8,0.0,0.97,19.4
2015-07-23,10.8,-1.6,0.0,1.11,13.6
2015-07-24,10.9,4.4,0.0,0.82,14.3
2015-07-25,11.3,0.3,0.0,1.28,16.3
2015-07-26,11.1,6.3,0.6,1.06,27.8
2015-07-27,13.9,8.9,0.0,1.11,23.1
2015-07-28,11.2,6.9,9.2,0.79,23.1
2015-07-29,9.3,4.8,4.2,0.93,19.5
2015-07-30,7.7,2.3,0.0,1.0,16.5
2015-07-31,9.8,3.5,0.0,0.86,16.2
2015-08-01,12.8,4.9,1.5,1.18,19.1
2015-08-02,12.2,8.0,0.8,1.08,20.9
2015-08-03,13.8,7.4,0.9,0.73,28.4
2015-08-04,12.7,8.3,12.1,0.62,35.6
2015-08-05,10.3,3.8,7.1,0.79,11.0
2015-08-06,11.9,8.1,9.6,0.86,27.8
2015-08-07,8.8,5.0,6.9,0.91,29.9
2015-08-08,6.9,1.1,8.7,0.77,26.3
2015-08-09,7.3,-0.5,1.3,1.06,18.8
2015-08-10,6.6,0.0,0.0,1.01,20.5
2015-08-11,6.3,0.8,1.9,0.88,25.0
2015-08-12,7.8,0.2,0.0,1.07,11.7
2015-08-13,11.0,-1.1,0.0,1.61,16.4
2015-08-14,10.7,6.6,2.0,1.1,19.8
2015-08-15,9.9,5.9,4.5,0.67,13.0
2015-08-16,10.6,5.3,0.2,1.3,24.5
2015-08-17,11.9,3.5,0.2,1.53,13.8
2015-08-18,11.7,5.5,0.0,1.51,30.1
2015-08-19,10.2,6.2,11.3,0.74,29.5
2015-08-20,9.8,4.7,1.7,1.38,23.5
2015-08-21,10.6,-1.9,0.0,1.7,10.7
2015-08-22,10.7,0.7,0.0,1.5,14.2
2015-08-23,11.3,3.8,2.1,0.77,18.6
2015-08-24,12.2,6.8,2.2,1.09,25.4
2015-08-25,10.3,5.2,13.1,0.43,24.5
2015-08-26,12.3,5.0,0.0,1.81,19.1
2015-08-27,12.2,0.4,0.0,2.1,11.5
2015-08-28,13.4,1.1,0.0,1.73,12.6
2015-08-29,11.6,4.9,3.1,1.3,30.7
2015-08-30,13.9,8.5,2.4,1.28,28.2
2015-08-31,12.8,7.6,5.3,1.07,20.4
2015-09-01,12.1,7.5,15.4,0.96,23.5
2015-09-02,13.1,9.2,3.3,1.22,28.1
2015-09-03,9.6,6.4,9.6,0.57,23.1
2015-09-04,10.4,6.0,0.8,1.11,25.6
2015-09-05,10.2,4.9,0.0,1.72,24.7
2015-09-06,8.6,6.0,3.9,1.83,31.4
2015-09-07,8.9,0.2,0.0,1.79,13.8
2015-09-08,10.3,-0.1,0.0,1.58,20.7
2015-09-09,11.6,5.2,0.1,1.34,20.4
2015-09-10,11.1,7.3,7.4,1.01,28.3
2015-09-11,8.9,4.9,4.4,1.86,27.0
2015-09-12,7.9,2.6,0.0,1.72,24.6
2015-09-13,13.4,4.0,0.0,2.0,17.7
2015-09-14,11.5,3.1,0.0,2.37,14.3
2015-09-15,12.1,3.2,0.1,1.32,27.1
2015-09-16,11.5,8.4,0.0,1.53,24.2
2015-09-17,14.5,7.1,1.6,1.34,25.6
2015-09-18,14.2,8.2,7.0,1.59,22.0
2015-09-19,11.2,5.6,12.5,1.22,21.0
2015-09-20,9.3,5.5,7.1,0.89,32.4
2015-09-21,8.3,5.1,6.1,1.34,34.3
2015-09-22,12.2,6.1,1.6,1.84,26.0
2015-09-23,10.5,7.3,11.8,0.65,19.2
2015-09-24,12.7,8.0,1.0,1.71,30.8
2015-09-25,12.1,5.9,0.4,2.02,20.7
