time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,windspeed_10m_max
2015-01-01,20.8,14.0,5.6,4.83,19.7
2015-01-02,20.7,13.4,0.0,3.57,12.6
2015-01-03,23.7,11.9,0.2,4.7,9.8
2015-01-04,23.0,13.3,0.3,4.5,13.0
2015-01-05,22.4,13.2,0.0,5.06,14.0
2015-01-06,21.9,13.3,0.0,4.68,15.9
2015-01-07,22.4,14.4,0.4,4.06,17.0
2015-01-08,24.0,15.1,0.6,4.52,16.1
2015-01-09,21.1,15.4,5.8,2.84,16.4
2015-01-10,23.7,15.0,0.0,5.0,16.1
2015-01-11,20.7,12.8,0.0,4.55,20.3
2015-01-12,23.0,14.5,0.0,3.6,21.7
2015-01-13,24.2,15.3,0.0,5.26,13.5
2015-01-14,24.0,14.1,0.0,5.07,14.2
2015-01-15,25.2,13.8,0.0,4.88,10.5
2015-01-16,24.2,17.2,0.0,4.11,12.1
2015-01-17,22.8,15.9,3.8,2.74,16.8
2015-01-18,23.6,14.2,0.0,5.08,18.0
2015-01-19,22.8,16.1,0.0,4.5,19.3
2015-01-20,20.8,14.4,0.3,2.38,14.0
2015-01-21,22.6,11.8,0.0,5.75,19.4
2015-01-22,24.1,14.0,0.0,4.56,17.0
2015-01-23,23.2,15.0,0.2,3.69,17.0
2015-01-24,26.6,13.5,0.0,5.81,16.3
2015-01-25,28.0,14.8,0.1,5.51,15.6
2015-01-26,25.3,17.7,0.2,4.31,19.1
2015-01-27,26.2,13.9,0.0,4.76,13.3
2015-01-28,26.4,16.5,2.5,4.39,17.2
2015-01-29,28.2,15.1,0.0,5.31,14.5
2015-01-30,26.1,16.7,0.2,4.4,12.5
2015-01-31,24.5,18.2,1.0,3.17,14.1
2015-02-01,22.4,18.0,8.9,1.85,18.6
2015-02-02,22.4,18.0,13.7,2.23,22.7
2015-02-03,21.8,15.1,0.9,3.71,28.6
2015-02-04,21.1,13.6,1.6,3.01,21.1
2015-02-05,18.5,14.8,0.5,3.59,30.7
2015-02-06,17.8,13.3,4.4,3.34,34.7
2015-02-07,20.1,8.7,0.0,4.83,16.4
2015-02-08,21.4,11.5,0.0,3.82,12.6
2015-02-09,21.9,15.2,1.0,2.94,22.5
2015-02-10,22.6,14.1,1.2,3.97,21.5
2015-02-11,24.5,11.3,0.0,5.26,15.7
2015-02-12,22.8,12.0,0.0,3.43,13.7
2015-02-13,22.3,13.6,0.0,3.76,17.9
2015-02-14,23.4,12.6,0.0,3.78,12.5
2015-02-15,22.1,14.4,0.0,3.66,12.3
2015-02-16,22.6,11.2,0.0,3.97,11.2
2015-02-17,23.4,14.4,0.0,3.98,9.1
2015-02-18,24.3,11.8,0.0,4.8,15.4
2015-02-19,23.5,11.1,0.0,4.55,18.1
2015-02-20,24.9,13.7,0.0,4.57,8.7
2015-02-21,21.1,14.4,1.5,2.36,15.3
2015-02-22,23.5,14.7,3.7,3.35,10.8
2015-02-23,23.3,15.5,2.9,3.41,16.3
2015-02-24,22.6,15.4,0.4,3.17,14.5
2015-02-25,22.4,15.5,0.7,3.47,19.5
2015-02-26,22.9,12.2,0.0,3.73,10.7
2015-02-27,22.4,12.4,1.3,3.35,19.1
2015-02-28,23.4,11.2,0.0,4.24,15.2
2015-03-01,24.9,12.6,0.0,4.55,11.7
2015-03-02,25.5,13.8,0.4,3.81,10.6
2015-03-03,24.8,16.0,0.0,3.34,9.5
2015-03-04,24.1,14.1,0.0,2.81,6.4
2015-03-05,25.0,15.8,0.2,3.89,12.6
2015-03-06,22.6,15.2,10.3,1.63,31.8
2015-03-07,21.4,13.8,15.5,2.25,31.9
2015-03-08,19.9,14.8,1.2,3.15,28.2
2015-03-09,20.1,13.4,0.0,2.51,12.7
2015-03-10,22.3,12.1,0.0,3.35,15.9
2015-03-11,23.0,12.5,0.0,2.85,8.0
2015-03-12,21.0,15.5,12.2,2.06,12.1
2015-03-13,22.2,13.5,1.1,2.94,8.4
2015-03-14,23.8,13.6,0.1,3.43,11.5
2015-03-15,22.7,15.0,4.7,3.05,19.1
2015-03-16,21.3,14.9,18.2,2.04,22.2
2015-03-17,18.8,11.6,0.0,2.71,22.9
2015-03-18,18.2,8.6,0.0,2.81,13.3
2015-03-19,18.5,10.7,0.0,2.87,10.7
2015-03-20,18.8,5.6,0.0,3.47,10.6
2015-03-21,19.7,10.0,0.0,2.42,11.7
2015-03-22,20.2,11.0,0.0,2.47,11.6
2015-03-23,19.7,11.3,0.5,2.27,14.2
2015-03-24,19.3,12.6,3.1,2.1,16.1
2015-03-25,21.2,11.1,0.0,2.49,10.7
2015-03-26,20.1,14.6,3.6,1.68,15.4
2015-03-27,21.5,14.5,0.7,2.03,11.3
2015-03-28,20.0,13.6,2.3,1.2,17.5
2015-03-29,19.9,15.2,6.8,1.69,22.5
2015-03-30,19.4,13.6,2.2,2.13,22.9
2015-03-31,19.5,11.4,0.0,2.5,16.8
2015-04-01,20.9,8.1,0.0,2.62,9.4
2015-04-02,20.0,12.4,0.0,2.4,11.3
2015-04-03,18.8,10.6,0.0,2.16,16.1
2015-04-04,19.7,10.5,0.5,1.87,22.3
2015-04-05,21.1,14.4,0.0,1.77,8.4
2015-04-06,21.0,12.7,0.7,1.82,14.8
2015-04-07,21.6,14.5,2.2,2.37,17.0
2015-04-08,19.8,15.8,7.5,1.0,13.9
2015-04-09,20.0,18.1,16.2,0.6,17.8
2015-04-10,20.1,16.2,8.8,1.3,21.5
2015-04-11,19.7,12.8,2.7,2.06,13.2
2015-04-12,16.5,11.1,0.1,1.64,20.9
2015-04-13,14.8,7.8,20.5,0.92,27.3
2015-04-14,12.4,6.1,0.3,1.93,19.4
2015-04-15,15.3,5.8,2.3,1.73,21.3
2015-04-16,15.5,5.0,0.0,2.28,17.7
2015-04-17,15.7,8.7,1.5,1.58,16.9
2015-04-18,14.5,11.2,32.4,0.44,17.6
2015-04-19,18.5,6.9,0.1,1.79,15.8
2015-04-20,19.3,12.6,1.1,1.77,10.3
2015-04-21,18.9,10.2,0.1,1.56,8.5
2015-04-22,19.8,11.5,0.0,1.74,7.9
2015-04-23,18.6,13.1,0.0,1.79,13.4
2015-04-24,18.7,10.0,0.0,2.11,12.3
2015-04-25,16.9,9.1,0.0,1.52,16.7
2015-04-26,17.8,10.5,0.0,1.85,22.0
2015-04-27,17.2,14.4,44.4,0.38,32.5
2015-04-28,15.8,10.8,16.0,1.14,27.2
2015-04-29,14.5,9.9,6.2,1.19,27.7
2015-04-30,14.8,6.6,0.1,1.88,32.4
2015-05-01,16.1,5.0,0.0,1.87,15.5
2015-05-02,15.6,9.0,0.0,1.49,13.4
2015-05-03,15.0,6.2,0.0,1.31,11.7
2015-05-04,14.1,3.8,0.0,1.38,9.1
2015-05-05,17.6,8.1,0.0,1.33,13.6
